,content,replyCount,retweetCount,likeCount,quoteCount,year,month,day
0,"⏩ Es muss ein Klick durch #RLP gehen! RLP hat bei der #Digitalisierung viel aufzuholen: Bei schnellem Internet, beim Handyempfang, der Digitalisierung von Schulen &amp; besseren Bedingungen für Unternehmen. Unter #Baldauf wird Digitalisierung zur Chefsache! #wirmachendas https://t.co/VwThJ7KLXl",35,11,39,2,2021,3,10
1,"Mehr Tempo bei der Digitalisierung, Datenschutz praxisnäher umsetzen und schnellere Planungsverfahren. Beim Verband kommunaler Unternehmen hat CDU-Chef @ArminLaschet seine Ideen für ein Modernisierungsjahrzehnt skizziert. 
Mehr Infos: 👉🏼 https://t.co/DsxUKH1D9q https://t.co/Md8D2xGded",138,12,73,32,2021,3,10
2,Die beiden tollen Kandidatinnen sind übrigens Sarah Schweizer und @nicolerazavi. Deshalb am 14. März: Frauenpower stärken und #CDU wählen! 🗳 #neuezeit #teamCDU https://t.co/VQZG1tYwW6,8,2,21,1,2021,3,10
3,".@ArminLaschet bei der CDU Göppingen zur Unterstützung der @CDU_BW &amp; der 2 tollen Kandidatinnen für den Landtag! Zwei engagierte Frauen, die für ihre Heimat &amp; ihre Ideen kämpfen. Sie verbindet dabei ein gemeinsames Anliegen: Klimaschutz durch wirtschaftliche Stärke. So geht #CDU! https://t.co/8yRse0dCWN",39,6,40,4,2021,3,10
4,"Damit der Südwesten international dauerhaft wettbewerbsfähig bleibt, braucht es eine aktive Innovationspolitik. Dafür steht die @CDU_BW. Deshalb: Am 14. März #CDU wählen! #neuezeit #teamCDU 
👉 https://t.co/PqbAdtZYQP https://t.co/35nWJ2yHoh",86,17,65,4,2021,3,10
5,"Es ist Zeit für eine Landesregierung, die das Bildungschaos in #RheinlandPfalz beendet. Christian #Baldauf und sein Team treten an für eine Bildungspolitik, von der alle Kinder profitieren. #wirmachendas #teamCDU 
👉 https://t.co/HO6da9UPtk https://t.co/aSt5FV1qs8",72,21,91,4,2021,3,9
6,"🗳 Endspurt im #Wahlkampf: Viel Erfolg, Christian #Baldauf und allen Kandidatinnen und Kandidaten der @cdurlp! 💪🏼Es ist Zeit für einen Neuanfang in Rheinland-Pfalz! Die CDU steht geschlossen an Eurer Seite. #teamCDU #wirmachendas https://t.co/rtJnvRabwW",32,11,93,1,2021,3,9
7,".@ArminLaschet in den ARD @tagesthemen: Uns bewegt, wie wir 🇩🇪 gut durch die Krise kriegen &amp; das Land anschließend modernisieren können. Ich habe deshalb keine Lust auf Alleingänge einzelner Abgeordneter, die sich persönlich bereichern wollen. Das werde ich nicht dulden. https://t.co/e60UJTxuXg",260,22,163,29,2021,3,8
8,"Die Wahl in RLP ist mehr als eine Stimmabgabe für eine Partei. Es ist eine Entscheidung für die Zukunft bis 2026. Wir müssen den Menschen klar machen: Am 14. März geht es darum, mit der @cdurlp Zukunft zu wählen! 🗳@ArminLaschet zu Gast beim CDU KV Ahrweiler. https://t.co/gM5DakUSRl",143,16,89,10,2021,3,8
9,"Chefin. Mutter. Seelsorgerin. Kämpferin. Handwerkerin. Freundin. Alleskönnerin.
Wir wünschen allen Frauen alles Liebe zum #Weltfrauentag! 💪🏼♥️ https://t.co/knt5SCx3CS",185,47,317,53,2021,3,8
